ship direction [deg],ship speed [m/s],wind direction [deg],wind speed [m/s]
75,15,180,10
90,15,180,10
105,15,180,10
120,15,180,10
135,15,180,10
150,15,180,10
165,15,180,10
180,15,180,10
195,15,180,10
210,15,180,10
225,15,180,10
240,15,180,10
255,15,180,10
270,15,180,10
285,15,180,10
300,15,180,10
315,15,180,10
330,15,180,10
345,15,180,10
360,15,180,10
0,0,225,10
15,0,225,10
30,0,225,10
45,0,225,10
60,0,225,10
75,0,225,10
90,0,225,10
105,0,225,10
120,0,225,10
135,0,225,10
150,0,225,10
165,0,225,10
180,0,225,10
195,0,225,10
210,0,225,10
225,0,225,10
240,0,225,10
255,0,225,10
270,0,225,10
285,0,225,10
300,0,225,10
